,id,branch,customerType,gender,prodLine,price,quant,tot,date,time,payment,rating
0,750-67-8428,A,Member,Female,Health and beauty,74.69,7.0,548.9715,2019-01-05,13:08,Ewallet,9.1
1,226-31-3081,C,Normal,Female,Electronic accessories,15.28,5.0,80.22,2019-03-08,10:29,Cash,9.6
2,631-41-3108,A,Normal,Male,Home and lifestyle,46.33,7.0,340.5255,2019-03-03,13:23,Credit card,7.4
3,123-19-1176,A,Member,Male,Health and beauty,58.22,8.0,489.048,2019-01-27,20:33,Ewallet,8.4
4,373-73-7910,A,Normal,Male,Sports and travel,86.31,7.0,634.3785,2019-08-02,10:37,Ewallet,5.3
5,699-14-3026,C,Normal,Male,Electronic accessories,85.39,7.0,627.6165,2019-03-25,18:30,Ewallet,4.1
6,355-53-5943,A,Member,Female,Electronic accessories,68.84,6.0,433.69199999999995,2019-02-25,14:36,Ewallet,5.8
7,315-22-5665,C,Normal,Female,Home and lifestyle,73.56,10.0,772.38,2019-02-24,11:38,Ewallet,8.0
8,665-32-9167,A,Member,Female,Health and beauty,36.26,2.0,76.146,2019-10-01,17:15,Credit card,7.2
9,692-92-5582,B,Member,Female,Food and beverages,54.84,3.0,172.74599999999998,2019-02-20,13:27,Credit card,5.9
10,351-62-0822,B,Member,Female,Fashion accessories,14.48,4.0,60.816,2019-06-02,18:07,Ewallet,4.5
11,529-56-3974,B,Member,Male,Electronic accessories,25.51,4.0,107.14200000000001,2019-09-03,17:03,Cash,6.8
12,365-64-0515,A,Normal,Female,Electronic accessories,46.95,5.0,246.4875,2019-12-02,10:25,Ewallet,7.1
13,252-56-2699,A,Normal,Male,Food and beverages,43.19,10.0,453.495,2019-07-02,16:48,Ewallet,8.2
14,829-34-3910,A,Normal,Female,Health and beauty,71.38,10.0,749.49,2019-03-29,19:21,Cash,5.7
15,299-46-1805,B,Member,Female,Sports and travel,93.72,6.0,590.436,2019-01-15,16:19,Cash,4.5
16,656-95-9349,A,Member,Female,Health and beauty,68.93,7.0,506.6355,2019-11-03,11:03,Credit card,4.6
17,765-26-6951,A,Normal,Male,Sports and travel,72.61,6.0,457.44300000000004,2019-01-01,10:39,Credit card,6.9
18,329-62-1586,A,Normal,Male,Food and beverages,54.67,3.0,172.2105,2019-01-21,18:00,Credit card,8.6
19,319-50-3348,B,Normal,Female,Home and lifestyle,40.3,2.0,84.63,2019-11-03,15:30,Ewallet,4.4
20,300-71-4605,C,Member,Male,Electronic accessories,86.04,5.0,451.71,2019-02-25,11:24,Ewallet,4.8
21,371-85-5789,B,Normal,Male,Health and beauty,87.98,3.0,277.137,2019-05-03,10:40,Ewallet,5.1
22,273-16-6619,B,Normal,Male,Home and lifestyle,33.2,2.0,69.72,2019-03-15,12:20,Credit card,4.4
23,636-48-8204,A,Normal,Male,Electronic accessories,34.56,5.0,181.44,2019-02-17,11:15,Ewallet,9.9
24,549-59-1358,A,Member,Male,Sports and travel,88.63,3.0,279.1845,2019-02-03,17:36,Ewallet,6.0
25,227-03-5010,A,Member,Female,Home and lifestyle,52.59,8.0,441.756,2019-03-22,19:20,Credit card,8.5
26,649-29-6775,B,Normal,Male,Fashion accessories,33.52,1.0,35.196,2019-08-02,15:31,Cash,6.7
27,189-17-4241,A,Normal,Female,Fashion accessories,87.67,2.0,184.107,2019-10-03,12:17,Credit card,7.7
28,145-94-9061,B,Normal,Female,Food and beverages,88.36,5.0,463.89,2019-01-25,19:48,Cash,9.6
29,848-62-7243,A,Normal,Male,Health and beauty,24.89,9.0,235.2105,2019-03-15,15:36,Cash,7.4
